Category,Outbreak,Location,Lat,Long,Date,Cases,Fatalities,Impact Scale,Source Citation,Source
Measles,Measles,Taiwan,24.55712,121.55273,2/2013,1,0,Isl,"Focus Taiwan. ""Taiwan reports first case of imported measles this year."" February 9 2013.",http://focustaiwan.tw/ShowNews/WebNews_Detail.aspx?TypeaALL&ID201302090009
Measles,Measles,U.K. (Durham),54.77525,-1.58485,7/2013,1,0,Isl,"Laundy Stuart. ""Parents on alert after measles case reported at Weardale school."" The Northern Echo. July 5 2013.",http://www.thenorthernecho.co.uk/news/10530504.Parents_on_alert_after_measles_case_reported_at_Weardale_school/
Measles,Measles,U.K. (Middlesbrough),54.5503,-1.21659,1/2013,2,0,Isl,"Evening Gazette ""Two cases of measles at James Cook University Hospital"" January 16 2013.",http://www.gazettelive.co.uk/news/teesside-news/2013/01/16/two-cases-of-measles-at-james-cook-university-hospital-84229-32610697/
Measles,Measles,U.K. (Portsmouth),50.798914,-1.091163,4/2011,1,0,Isl,"Hawthorn Rachel . ""First case of measles in six years puts NHS on alert ."" The News (Portsmouth) April 19 2011.",http://www.portsmouth.co.uk/news/local/east-hampshire/first_case_of_measles_in_six_years_puts_nhs_on_alert_1_2608152
Measles,Measles,U.S. (Arizona),34.04893,-111.09373,7/2012,1,0,Isl,"Arizona Daily Sun ""Measles case surfaces in Flagstaff"" July 19 2012.",http://azdailysun.com/news/local/measles-case-surfaces-in-flagstaff/article_e1b77779-6dcf-50b6-9139-2ccea376fbf3.html
Measles,Measles,U.S. (California Kern County),35.49373,-118.85968,8/2013,1,0,Isl,"Marin Lesly. ""Public Health confirms measles case in Kern County."" ABC 23. August 16 2013.",http://www.turnto23.com/news/local-news/public-health-confirms-measles-case-in-kern-county-081613
Measles,Measles,U.S. (California),36.778261,-119.417932,3/2011,28,0,Isl,"Gorman Ana . ""California Leads U.S. in Measles Cases."" Los Angles Times September 22 2011.",http://www.amren.com/mtnews/archives/2011/09/california_lead.php
Measles,Measles,U.S. (Delaware),39.29067,-75.63437,1/2012,1,0,Isl,"ABC Local. ""Measles case confirmed in Delaware child."" January 27 2012.",http://abclocal.go.com/wpvi/story?sectionnews/health&id8522260&rssrss-wpvi-article-8522260
Measles,Measles,U.S. (Florida),28.53834,-81.37924,7/2013,1,0,Isl,"Wright Colleen. ""Measles case pops up near Orlando attractions area."" Orlando Sentinel. July 25 2013.",http://www.orlandosentinel.com/health/os-measles-case-orlando-2013072507967852.story
Measles,Measles,U.S. (Florida),27.664827,-81.015754,4/2011,1,0,Isl,"Shrieves Linda . ""Orlando preschooler diagnosed with measles is area's first case in 17 years."" Orlando Sentinel May 13 2011.",http://www.orlandosentinel.com/health/os-orlando-measles-201105130585164.story
