HD45184, CanisMajor,  6.37, 71, G1.5V, 1.063, 1.127, 5803, 1
HD45364, CanisMajor,  8.07, 107, G8V, 0.815, 0.759, 5434, 2
COROT-19, Monoceros,  12.78, 2532, F9V, 1.212, 1.651, 6090, 1
HD45350, Auriga,  7.88, 159, G5V, 1.018, 1.265, 5754, 1
HD45652, Monoceros,  8.13, 112, K0V, 0.855, 0.895, 5312, 1
6Lyncis, Lynx,  5.88, 182, K0III-IV, 1.688, 5.152, 4978, 1
COROT-20, Monoceros,  14.66, 4009, G2V, 1.143, 0.916, 5878, 1
COROT-18, Monoceros,  14.99, 2837, G9V, 0.946, 1.001, 5439, 1
HD46375, Monoceros,  7.84, 114, K1IV, 1.477, 1.020, 5199, 1
COROT-21, Monoceros,  11.90, 2763, F8IV, 1.287, 1.945, 6224, 1
HD47186, CanisMajor,  7.79, 129, G6V, 0.991, 0.968, 5675, 2
7CanisMajoris, CanisMajor,  3.97, 64, K1III, 1.523, 2.313, 4792, 1
HD47536, CanisMajor,  5.26, 402, K1III, 0.944, 23.469, 4379, 2
HD48265, Puppis,  8.07, 279, G5IV/V, 0.933, 1.035, 5686, 1
COROT-12, Monoceros,  15.52, 3759, G2V, 1.078, 1.116, 5676, 1
WASP-35, Gemini,  11.38, 694, G3V, 0.977, 0.991, 5723, 1
COROT-1, Monoceros,  13.57, 1561, G1V, 0.899, 1.085, 5799, 1
COROT-13, Monoceros,  15.04, 4271, G0V, 1.090, 1.011, 5946, 1
HD49674, Auriga,  8.10, 144, G5V, 1.074, 0.942, 5482, 1
HD50499, Puppis,  7.22, 150, G1IV, 1.274, 1.377, 5902, 1
COROT-14, Monoceros,  16.03, 4363, F9V, 1.133, 1.212, 6035, 1
HD50554, Gemini,  6.86, 98, F8V, 1.044, 1.113, 5902, 1
Gliese253, Carina,  8.17, 114, K0IV, 0.994, 1.326, 5233, 2
COROT-7, Monoceros,  11.66, 465, K0V, 0.926, 0.866, 5275, 2
COROT-5, Monoceros,  14.01, 4014, F9V, 0.998, 1.186, 6102, 1
HD52265, Monoceros,  6.30, 94, G0V, 1.204, 1.249, 6025, 1
HAT-P-24, Gemini,  11.82, 997, F8V, 1.191, 1.317, 6373, 1
COROT-4, Monoceros,  13.67, 3602, F0V, 1.098, 1.154, 6193, 1
HAT-P-9, Auriga,  12.35, 1571, F7V, 1.277, 1.322, 6344, 1
XO-4, Lynx,  10.65, 957, F5V, 1.320, 1.554, 5696, 1
HAT-P-20, Gemini,  11.34, 227, K7V, 0.760, 0.690, 4595, 1
HD59686, Gemini,  5.45, 316, K2III, 1.875, 11.621, 4987, 1
HAT-P-33, Gemini,  11.89, 1366, F7V, 1.403, 1.777, 6402, 1
HD60532, Puppis,  4.46, 83, F6IV-V, 1.444, 2.520, 6095, 2
NGC2423-3, Puppis,  9.45, 2499, G9IV-V, 2.432, 6.712, 5387, 1
HD63454, Chamaeleon,  9.37, 113, K3Vk, 0.812, 0.776, 4731, 1
Pollux, Gemini,  1.15, 34, K0IIIb, 1.863, 8.819, 4666, 1
XO-5, Lynx,  12.13, 881, G8V, 0.879, 1.065, 5510, 1
HD63765, Carina,  8.10, 108, G9V, 0.864, 0.817, 5223, 1
XO-2, Lynx,  11.25, 485, K0V, 0.977, 0.965, 5336, 1
HD65216, Carina,  7.98, 116, G5V, 0.921, 0.964, 5533, 2
HD66428, Monoceros,  8.01, 179, G5IV, 1.145, 1.205, 5752, 1
HAT-P-35, Hydra,  12.46, 1746, F9V, 1.236, 1.435, 6096, 1
WASP-51, Hydra,  10.36, 932, F7IV, 1.199, 1.277, 6247, 1
HD68988, UrsaMajor,  8.21, 178, G0V, 1.186, 1.136, 5767, 1
HD69830, Puppis,  5.95, 41, K0V, 0.856, 0.895, 5385, 3
HD70642, Puppis,  7.18, 92, G5V, 1.023, 0.840, 5533, 1
WASP-42, Lynx,  13.42, 2392, G4IV, 1.086, 1.045, 5722, 1
HD70573, Hydra,  8.70, 149, G1.5V, 1.012, 0.981, 5737, 1
HD72659, Hydra,  7.48, 163, G0V, 0.953, 1.433, 5821, 1
HD73267, Pyxis,  8.89, 177, K0V, 0.893, 1.043, 5317, 1
HD73256, Pyxis,  8.08, 123, G8V, 1.236, 0.897, 5321, 1
HD73526, Vela,  9.00, 328, G6V, 1.020, 1.494, 5470, 2
HD73534, Cancer,  8.24, 264, G5IV, 1.290, 2.654, 4952, 1
HAT-P-13, UrsaMajor,  10.42, 696, G4IV, 1.220, 1.561, 5638, 1
4UrsaeMajoris, UrsaMajor,  5.79, 256, K1III, 1.234, 16.786, 4415, 1
Gliese317, Pyxis,  12.98, 30, M3.5V, 0.243, 0.302, 3192, 1
HD74156, Hydra,  7.61, 210, G0IV, 1.236, 1.581, 6039, 2
WASP-64, Cancer,  10.64, 732, F6V, 1.138, 1.214, 6408, 1
HD75289, Vela,  6.36, 95, G0V, 1.045, 1.255, 6011, 1
55Cancri, Cancer,  5.95, 40, G8V, 1.026, 0.887, 5217, 5
HD75898, Lynx,  8.04, 247, G0IV, 1.279, 1.604, 6021, 1
HD76700, Volans,  8.12, 197, G6V, 0.999, 1.326, 5458, 1
WASP-65, Lynx,  10.24, 220, K5V, 0.826, 0.798, 4601, 1
HD79498, Cancer,  8.03, 150, G3V, 1.056, 1.049, 5736, 1
